text,domain_5,true_label_id,pred_label_id,true_label,pred_label,prob_true,prob_pred,prob_max
ci il ci kursu bitirib rayona gəlmişdim bərk külək əsirdi iyul ayında darvaza əyilmişdi petlədən çıxırdı qala qardaşıma dedim gəl taxta salaq darvazanın altına petləyə keçirək darvazanı qaldırdım darvazanı əli saxlamışdı güya itələyəcək düşəcək yerinə külək darvazanı aşırdı anam işdə atam taksi sürücüsü işləyirdi darvaza üstümə aşanda qardaşım tez çəkdi özünə sağ ayağının topuq hissəsinə düşdü topuq hissədən ayağı sındı dəqiqə ərzində topuq şişdisə qardaşımın hənirtisi məhləni götürdü tez evdən buz gətirib ayağına qoyub sarıdım ev telefonu anama zəng vurub hadisəni danışdım yazıq arvad başı yalolu evə gəldisə işdən tez atamı çağırdıq news_src rdıq bərdədə qənbər həkimin yanına anamın dayısı neçə il bərdənin baş trammatoloqu işləyib qənbər həkim yerli keyitmə qardaşımın topuğun yenidən yığdı yığılmış suyu çəkdi ayağın gipsə qoydu qardaşımın ayağı gün gipsdə qaldı yataqda gündən news_src rdıq yanına özü gibsi sökdü topuğuna karset keçirdi kömık elədi qardaşımın yeriməyinə yaxşı sümükbərpa edici qidalar dərmanlar atdı özün qorudu topuqdan sınmışdısa ayağı əyilmişdi ümumilikdə topuq sümüyün bərpa elədi ayağı yenidən yığdı qənbər həkim üstündən il keçib heç ağrı əyrilik şiş göyərmə olmadı yəni deməyim odur ölkədə yaxşı həkimlər onların qədrin bilmık lazımdır həkimlər tanrının yerə göndərdiyi xilaskarlarıdır yaxşı məsuliyyətli həkimlərə eşq hörmətlər,Public Services,1,0,neu,neg,0.09026256948709488,0.8697086572647095,0.8697086572647095
rəssam həm həkim olub dövrünə görə tibbi yenilikləri olub kral cəmiyyəti insanlar kilsə onun kəşflərinə əhəmiyyət verməyib həkim insanlar üzərində çoxlu tibbi araşdırmalar news_src rıb news_inst iş prosessində çəkib adəm ilk tanışlığı tövratı oxumaq başlayır tibbdə isə sübut edir müddət tibbi araşdırmaları saxlayır bildiklərin rəsmlərə köçürdür adminin yazdığı anatomik eyniləşdirmə doğrudur beyinə oxşar qırmızımtıl hissənin sağ yuxarı hissəsi ürəyin sol komerasının çıxışına bənzəyir beyinin içində olan mələklər spermatazoidlərdir sol tərəfdə uzanmış adam mələyin barmağının toqquşması cəmir spermanın tutmağı deməkdir beyinə bənzər forma həm dölü təsvir edir sol tərəfdəki insan isə cəmi spermatazoiddən insanın yaranmasın göstərir şəkilin çəkilməsi il vaxt news_src rıb,Social Life & Entertainment,1,0,neu,neg,0.11150705069303513,0.8189741373062134,0.8189741373062134
açıxlamanı oxuyun mənim mizahlı vətəndaşlarım sinyal vasitəsi yuxunuza reklam yerləşdirməyəcəklər sadəcə nəyi izlədin yuxuna girir buda normal şeydi əslində yəni insanın düşündüyü şeyin onun yuxusuna girmək ehtimalı çoxdu dəfələrlə başıma gəlib,Public Services,1,0,neu,neg,0.13173875212669373,0.795861005783081,0.795861005783081
möhtəşəm görünüşü zəhmli aqressiv dizeyneri erməni əsilli amerikalı olub görünüşün hansısa quşdan götürüblər qanadından digər qadanının ucuna məsafəsi metrdir phone ci illər aralığında həm istehsal olunub həm yenilənib amerika ordusuna ci ildə təhvil verilib layihəyə ümumilikdə milyard dollar pul xərclənib pilot heyyəti biri idarəetməyə digəri isə radar atəşə nəzarət edir pilotların dəbilqəsinin qiyməti milyon dollardır pilot hədəfə baxsa hədəf avtomatik olaraq tuşlanır həmçinin dəbilqə bombardımançının idarə olunmasında rol oynayır silahların sayın məsafə hündürlüyü koordinantları göz önünə gətirir istehsal yeri hərbi bazası yuta ştatındadır saxlanma xərci ədədi aya min dollar xərc tələb edir amerikalıların hərbi pasportudur bombardımançı mühəndislər cəmiyyətə bağlıdır hazırlayanlardan con adlı mühəndis deyib əyər ölkə səmasında spirit gördüsə hesab eləsin müharibəni uduzub cəmi ədədi ci ildə kosovada vurulub,Retail & Lifestyle,1,0,neu,neg,0.1398986279964447,0.7863250374794006,0.7863250374794006
beyin insanın əsas nemət varlığıdır yoxdursa insan insana qul olmaqdan heç nəyə yaramır,Public Services,2,0,pos,neg,0.0815536379814148,0.7838895320892334,0.7838895320892334
fevral sərgüzəştləri part azərbaycanda real vəziyyət hardasa ofisdə işləyən səbinə səbiş moskvada yaşayan bibisi oğlu mamedin maqa xahişi korona pul köçürmə yolu azn pul göndərib syəbiş nolar qadan alım pulu götür elyaya qızıl al göndər səbiş ofis meneceri işləyir subaydır gəncəbasar tərəflərdəndir bakıda nənəsi qalır maqa bezdirib səbiş ləəxxlı bi şey al h news_src sevgilimin xoşuna gəlsin səsin atıb votsapda səbiş dünən axşam işdən s news_src t tez çıxıb gedib moskva univermağında rəşadın yanına sep klon üzzük sırqa dəsti alıb rus qızılından üstündə brliyyant qaş svarovski qaşlar axşam həvəslə elyaya yazıb gəl mola sənə surprizim elya p news_src consda görüşən səbiş qızıl bağlamanı uzadır maqa göndərib sənə elya həvəslə bağlamanı açıb qızıl dəstin görən pff mını neynirəm demişdim m news_src ayfon pörpl alsın deyib hədiyyəni qaytarır geriyə səbiş lomkaya düşüb maqaya səs atır maqa qadan alım elya hədiyyəni bəyənmədi ee ayfon isdəyir maqa əsəbləşib səs atır götürmür cəhənnəmə götürsün köpəyin qızı saxla özündə gələn ay gələcəm ayfon alacam mını verəcəm soxsun gözünə ara yerdə səbişin günlük əziyyəti heç eləməyin xanımlar qızlar adlar şərti olsa hekayə realdır,Social Life & Entertainment,2,0,pos,neg,0.07581481337547302,0.7835622429847717,0.7835622429847717
almaniyada yaşayiram burada bilenler bilir əksərən hava tutqun çiskinli qaranliq olur azerbaycanla muqayise etdim anliq ve bele qənaete geldimki almanlar gün görməyən ölkənin gün gorən sakinleridir azerbaycansa gün görən ölkənin gün görməyən sakinləri,Public Services,2,0,pos,neg,0.08184131234884262,0.7758264541625977,0.7758264541625977
her yerde cixan karbohidrogenlere neft deyib cam news_src ti casdirmayin cixan neftin terkibini gosterici hesab etmirsiniz azerbaycan nefti terkibinde olan konsentratlara gore dunyada birincidir sade dilde deyim hami anlasin misal ucun bizde cixan neftin barelinin deyeri amerikada cixan neftin bareline beraberdir,Public Services,2,0,pos,neg,0.08276931941509247,0.77339106798172,0.77339106798172
eslinde kisinin sunnti beli olunmayada biler ferz deil kisinin sunneti ziyan deil olunmamagi dahada ziyandi tibbi cehetdende tesdiq edilib coxluca arasdirin yazn zehmet olmasa sunnet olunmayan cinsi orqanda infeksiya yaranir şəxs bayrini etdikde gerekdikin cinsi orqanini temizelsn buda demek tam temizlemek olmur deye infeksiya dusur qedim dovrden adet enene bele gelib hamisindan qb news_src qda islam dinine inancimiz oldugu ucun bele olmalidi ıslam temizlik teleb edir,Public Services,2,0,pos,neg,0.08378661423921585,0.7629904747009277,0.7629904747009277
derdsiz qemsiz atali anali gunlerimiz cu kursda oxuyurdum telebenin oglan neferi ise qizlar heç kim varli kasibligi sezmirdi inam etibar beli ne xos bizlereki bizlet bele gozellikleri gormusuk,Public Services,2,0,pos,neg,0.09139323234558105,0.755095899105072,0.755095899105072
mexaniki hərəkətidə izah edsəydlər yüz fayz uşaqlar anlardı təsilin mayhətini mexanika cihazdı mexaniki isə ötrcü qutu ötrücü mühərrik deyək iməncə insanlara dillərində dərs verlərsə cətin sualları asanlıqla həl etmş olalar cərənnədim h news_src s gedim birazda sahələrə baxm burda insana iradmı bildirdim cünki insan elm sahəsinə irad bildrir günaha batram insanın mənfilyini deyərkən görəsiz kütləvi şəkldə təsl ocaqlarının qüsrru olmasını söylyəndəmi günaha datır yoxsa günahsızdı,Social Life & Entertainment,2,0,pos,neg,0.08886799216270447,0.7546089291572571,0.7546089291572571
pəhh azad kişinin qarajina giribsən novxanılı azad kişi qiryətli adamdi özüdə biznesmendi adamın rasiyyadada bərk hörməti dövlətin özünündə kişiyə bərk dəyəri allah can sağlıği versin orda qədimi qlınc əsirin ərəb xilafətinin antik qızıldan qaşlardan qalxanıyla birgə heç ərəblərin özlərində antik yoxdu biləsiz evində əsirin xalçası görəsən qalır,Public Services,2,0,pos,neg,0.09400559961795807,0.7464742660522461,0.7464742660522461
marlon brando filmdeki roluna gore oscar almisdi oscar mukafatini qəbul etmeyib redd etmisdi hetta yerine yerli amerikali qadin cixib cixis metnini ve imtina sebebini izah etmisdi,Public Services,1,0,neu,neg,0.158428356051445,0.7446999549865723,0.7446999549865723
mina qatı dişlərimizi qoruyan qalxandır minanın möhkəmliyi kq mm na çatır almazın möhkəmliyindən qədər aşağıdır dişin mina qatının qalınlığı yerinə görə müxtəlifdir mm qədər ola bilir şəkildə dişlərimizin təbəqələrə görə quruluşu göstərilib diş saçlar ən təbii aksessuarlardır dişləri səliqəli saçları gur yumşaq olan insan sağlam insandır dişləri saçları dırnaqları möhkəmlətmək təbii qidalardan istifadə etmək lazımdır qazlı içkilər kola fanta quru qidalar soyuq su dişlərin düşmənidir dişlərinizi saçlarınızı dırnaqlarınızı qoruyun sağlam qalın,Public Services,2,0,pos,neg,0.09414489567279816,0.7430651783943176,0.7430651783943176
mecidde donuz saxlayridi bilmirəm bunun menasi nedir montajlardan xosuma gelib tolet etmək,Public Services,1,0,neu,neg,0.16226650774478912,0.7407790422439575,0.7407790422439575
nyu yorka şəhərdən avtomobillə daxil olmaq ödənişlidir bunlara rəğmən nyu yorkda metro stansiyası,Public Services,1,0,neu,neg,0.16374126076698303,0.739005446434021,0.739005446434021
qüds təkcə fələstinlilərin davası deyil qüds özünə müsəlman deyən kəsin davasıdır,,2,0,pos,neg,0.09865084290504456,0.7384682297706604,0.7384682297706604
hə başa düşdüm yəqin babasının yanına gəlib bilməyib ölüb,Public Services,1,0,neu,neg,0.16583307087421417,0.733136773109436,0.733136773109436
mesele evvelki cekiye qayitmaq deyil meqsed ele heyat terzi qurmaq lazimdirki evvelki cekide olasan,,1,0,neu,neg,0.16815491020679474,0.7303425669670105,0.7303425669670105
azerbaycandada eledir butun neqliyyat pulsuzdur taksi metro avtobus gemi vertolyot teyyare produktda pulsuzdur kirayede pulsuzdur internet prosto cibimizde pulu ele bele gezdiririkde,Public Services,2,0,pos,neg,0.09939758479595184,0.72996985912323,0.72996985912323
